profile,quantum,seed,algorithm,mean_waiting,mean_turnaround,mean_response,mean_slowdown,p95_waiting,max_waiting,makespan,utilization,throughput,context_switches,dispatches
mixed,1,100,fcfs,85.6,94.52,85.6,32.618308663178226,171,175,226,0.9867256637168141,0.11061946902654868,24,25
mixed,1,100,sjf,41.56,50.48,41.56,11.342422871031568,133,142,226,0.9867256637168141,0.11061946902654868,24,25
mixed,1,100,srtf,22.04,30.96,15.12,2.1756743834135137,133,142,226,0.9867256637168141,0.11061946902654868,32,38
mixed,1,100,rr,47.12,56.04,5.16,6.938245871289349,166,169,226,0.9867256637168141,0.11061946902654868,217,223
mixed,1,100,priority,79.76,88.68,79.76,33.58432899789421,186,204,226,0.9867256637168141,0.11061946902654868,24,25
mixed,1,100,hrrn,41.96,50.88,41.96,11.822422871031568,133,142,226,0.9867256637168141,0.11061946902654868,24,25
mixed,1,101,fcfs,94.28,104.92,94.28,25.316067003769177,213,217,270,0.9851851851851852,0.09259259259259259,24,25
mixed,1,101,sjf,46.92,57.56,46.92,6.044127212794833,185,201,270,0.9851851851851852,0.09259259259259259,24,25
mixed,1,101,srtf,40.52,51.16,38.72,2.9009272127948327,185,201,270,0.9851851851851852,0.09259259259259259,29,35
mixed,1,101,rr,84.56,95.2,6.64,8.996677711368214,206,210,270,0.9851851851851852,0.09259259259259259,254,266
mixed,1,101,priority,93.52,104.16,93.52,26.87056077196386,208,224,270,0.9851851851851852,0.09259259259259259,24,25
mixed,1,101,hrrn,48.48,59.12,48.48,6.764006599413808,169,201,270,0.9851851851851852,0.09259259259259259,24,25
mixed,1,102,fcfs,94.08,105.2,94.08,29.345952347928378,235,237,285,0.9754385964912281,0.08771929824561403,23,25
mixed,1,102,sjf,39.88,51.0,39.88,3.2084974623898024,179,210,285,0.9754385964912281,0.08771929824561403,23,25
mixed,1,102,srtf,39.76,50.88,39.64,3.077830795723136,179,210,285,0.9754385964912281,0.08771929824561403,25,37
mixed,1,102,rr,78.76,89.88,6.72,8.750653844175066,212,213,285,0.9754385964912281,0.08771929824561403,274,278
mixed,1,102,priority,102.76,113.88,102.76,28.95116813537007,251,254,285,0.9754385964912281,0.08771929824561403,23,25
mixed,1,102,hrrn,40.8,51.92,40.8,3.7614671593594995,179,210,285,0.9754385964912281,0.08771929824561403,23,25
mixed,1,103,fcfs,49.2,56.68,49.2,17.07443243243243,141,143,198,0.9444444444444444,0.12626262626262627,20,25
mixed,1,103,sjf,14.76,22.24,14.76,2.5565096525096522,96,112,198,0.9444444444444444,0.12626262626262627,20,25
mixed,1,103,srtf,14.36,21.84,14.12,2.1245096525096527,96,112,198,0.9444444444444444,0.12626262626262627,21,33
mixed,1,103,rr,30.0,37.48,3.96,5.3811445731445735,121,124,198,0.9444444444444444,0.12626262626262627,168,187
mixed,1,103,priority,57.36,64.84,57.36,28.61576319176319,162,164,198,0.9444444444444444,0.12626262626262627,20,25
mixed,1,103,hrrn,32.72,40.2,32.72,10.536319176319175,88,112,198,0.9444444444444444,0.12626262626262627,20,25
mixed,1,104,fcfs,105.92,115.72,105.92,38.98701572708024,139,169,246,0.9959349593495935,0.1016260162601626,24,25
mixed,1,104,sjf,53.36,63.16,53.36,11.849731631130613,130,207,246,0.9959349593495935,0.1016260162601626,24,25
mixed,1,104,srtf,30.32,40.12,23.44,2.5815226764700445,170,207,246,0.9959349593495935,0.1016260162601626,26,35
mixed,1,104,rr,68.52,78.32,8.56,10.363355446653408,205,205,246,0.9959349593495935,0.1016260162601626,243,245
mixed,1,104,priority,119.12,128.92,119.12,46.36612691552929,203,225,246,0.9959349593495935,0.1016260162601626,24,25
mixed,1,104,hrrn,55.92,65.72,55.92,13.358343529327401,144,168,246,0.9959349593495935,0.1016260162601626,24,25
mixed,1,105,fcfs,173.12,192.8,173.12,28.21843836753078,388,415,496,0.9919354838709677,0.05040322580645161,24,25
mixed,1,105,sjf,127.28,146.96,127.28,6.679040557434998,389,428,496,0.9919354838709677,0.05040322580645161,24,25
mixed,1,105,srtf,125.04,144.72,124.24,5.059596112990554,389,428,496,0.9919354838709677,0.05040322580645161,27,39
mixed,1,105,rr,249.84,269.52,8.12,11.969761608404301,423,428,496,0.9919354838709677,0.05040322580645161,483,492
mixed,1,105,priority,187.68,207.36,187.68,33.077398320444146,408,419,496,0.9919354838709677,0.05040322580645161,24,25
mixed,1,105,hrrn,130.8,150.48,130.8,8.04769174704855,389,428,496,0.9919354838709677,0.05040322580645161,24,25
mixed,1,106,fcfs,111.52,123.12,111.52,37.76678607503607,241,245,294,0.9863945578231292,0.08503401360544217,24,25
mixed,1,106,sjf,51.0,62.6,51.0,5.597241702741703,194,244,294,0.9863945578231292,0.08503401360544217,24,25
mixed,1,106,srtf,44.68,56.28,42.96,2.847908369408369,194,244,294,0.9863945578231292,0.08503401360544217,28,37
mixed,1,106,rr,92.44,104.04,7.76,9.847438311688313,229,243,294,0.9863945578231292,0.08503401360544217,288,290
mixed,1,106,priority,129.84,141.44,129.84,44.49669408369408,263,279,294,0.9863945578231292,0.08503401360544217,24,25
mixed,1,106,hrrn,52.48,64.08,52.48,6.640612914862914,187,227,294,0.9863945578231292,0.08503401360544217,24,25
mixed,1,107,fcfs,120.52,135.36,120.52,23.010910223852857,290,290,371,1.0,0.0673854447439353,24,25
mixed,1,107,sjf,63.2,78.04,63.2,3.602672378454081,274,305,371,1.0,0.0673854447439353,24,25
mixed,1,107,srtf,63.2,78.04,63.2,3.602672378454081,274,305,371,1.0,0.0673854447439353,24,34
mixed,1,107,rr,127.6,142.44,8.4,10.241869859932502,305,310,371,1.0,0.0673854447439353,367,371
mixed,1,107,priority,166.88,181.72,166.88,36.195613981895036,312,345,371,1.0,0.0673854447439353,24,25
mixed,1,107,hrrn,65.92,80.76,65.92,4.71254102442799,255,305,371,1.0,0.0673854447439353,24,25
mixed,1,108,fcfs,152.72,164.76,152.72,51.785008217610645,208,232,302,0.9966887417218543,0.08278145695364239,24,25
mixed,1,108,sjf,59.08,71.12,59.08,8.340140198678942,219,248,302,0.9966887417218543,0.08278145695364239,24,25
mixed,1,108,srtf,47.48,59.52,37.44,2.995716669267176,219,248,302,0.9966887417218543,0.08278145695364239,34,42
mixed,1,108,rr,102.8,114.84,8.88,11.8163611795912,249,255,302,0.9966887417218543,0.08278145695364239,296,301
mixed,1,108,priority,130.52,142.56,130.52,51.34310914859312,254,286,302,0.9966887417218543,0.08278145695364239,24,25
mixed,1,108,hrrn,60.96,73.0,60.96,9.318919103344255,219,248,302,0.9966887417218543,0.08278145695364239,24,25
